feature,regressor_importance,classifier_importance,avg_importance
cat__state_Uttarakhand,0.0,0.044731446461500825,0.022365723230750412
cat__state_Andhra Pradesh,0.0,0.04254546191029571,0.021272730955147853
cat__state_Goa,0.0,0.042270595222719184,0.021135297611359592
cat__state_Himachal Pradesh,0.0,0.04124484042901913,0.020622420214509565
cat__state_West Bengal,0.0,0.03992359167977627,0.019961795839888136
cat__state_Haryana,0.0,0.03962928680615956,0.01981464340307978
cat__state_Rajasthan,0.0,0.03895645831278665,0.019478229156393325
cat__state_Kerala,0.0,0.03779430619398517,0.018897153096992584
cat__state_Bihar,0.0,0.03759124848176961,0.018795624240884806
cat__state_Delhi UT,0.0,0.03755930893811192,0.01877965446905596
cat__state_Tamil Nadu,0.0,0.037313595781939574,0.018656797890969787
cat__state_Chhattisgarh,0.0,0.0365461487716428,0.0182730743858214
cat__state_Punjab,0.0,0.03651305582044424,0.01825652791022212
cat__state_Assam,0.0,0.036402619638696315,0.018201309819348158
cat__state_Madhya Pradesh,0.0,0.0363902370470483,0.01819511852352415
cat__state_Odisha,0.0,0.03533094714133568,0.01766547357066784
cat__state_D&N Haveli,0.0,0.03486266475856285,0.017431332379281426
cat__state_Karnataka,0.0,0.034594828520537566,0.017297414260268783
cat__state_Jharkhand,0.0,0.03424759232558449,0.017123796162792245
cat__state_Mizoram,0.0,0.033997481508981145,0.016998740754490572
cat__state_Manipur,0.0,0.03356605688461842,0.01678302844230921
cat__state_Arunachal Pradesh,0.0,0.03195455708167436,0.01597727854083718
cat__state_Nagaland,0.0,0.03159610717203523,0.015798053586017616
cat__state_Chandigarh,0.0,0.031235093062566496,0.015617546531283248
cat__state_Daman & Diu,0.0,0.029844317249427654,0.014922158624713827
cat__state_Lakshadweep,0.0,0.028776071176325906,0.014388035588162953
cat__state_A&N Islands,0.0,0.02768179290897311,0.013840896454486554
cat__state_Puducherry,0.0,0.026900288713481792,0.013450144356740896
num__crime_rate_growth,0.0,0.0,0.0
num__population,0.0,0.0,0.0
num__previous_year_crime_rate,0.0,0.0,0.0
num__year,0.0,0.0,0.0
